keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
CORN_DESCRIPTION,+2 {PRODUCTION} if there is only {GROUP_CORNS} on island\n+10 {PRODUCTION} per adjacent island with 16 {GROUP_CORNS} in it,+2 de {PRODUCTION} se só tiver {GROUP_CORNS} na ilha\n+10 de {PRODUCTION} por ilha adjacente que tenha 16 {GROUP_CORNS},+2 {PRODUCTION} se c'è solo {GROUP_CORNS} sull'isola\n+10 {PRODUCTION} per ogni isola adiacente con 16 {GROUP_CORNS},如果岛上只有{GROUP_CORNS}，则+2 {PRODUCTION}\n每个与16个{GROUP_CORNS}相邻的岛屿+10 {PRODUCTION},섬에 {GROUP_CORNS}만 있으면 {PRODUCTION} +2\n16개의 {GROUP_CORNS}가 있는 인접 섬마다 {PRODUCTION} +10,島に{GROUP_CORNS}だけがある場合は{PRODUCTION} +2\n16の{GROUP_CORNS}がある隣接する島ごとに{PRODUCTION} +10,+2 {PRODUCTION} si solo hay {GROUP_CORNS} en la isla\n+10 {PRODUCTION} por cada isla adyacente con 16 {GROUP_CORNS},"+2 {PRODUCTION}, wenn es auf der Insel nur {GROUP_CORNS} gibt\n+10 {PRODUCTION} pro angrenzender Insel mit 16 {GROUP_CORNS}",+2 {PRODUCTION} s'il y a seulement {GROUP_CORNS} sur l'île\n+10 {PRODUCTION} par île adjacente avec 16 {GROUP_CORNS},+2 {PRODUCTION} jeśli na wyspie są tylko {GROUP_CORNS}\n+10 {PRODUCTION} za każdą sąsiednią wyspę z 16 {GROUP_CORNS},Adadaki {GROUP_CORNS} sadece ise +2 {PRODUCTION}\nHer 16 {GROUP_CORNS} içeren bitişik ada başına +10 {PRODUCTION}
FUEL_CORN,Fuel Corn,Petromilho,Mais combustibile,燃料玉米,연료 옥수수,燃料用トウモロコシ,Maíz combustible,Treibstoff-Mais,Maïs combustible,Kukurydza paliwowa,Yakıt Mısırı
FUEL_CORN_DESCRIPTION,Produces 5 {FUEL}\nProduces 20 {FUEL} if melted on {STRUCTURE_MELTER},Produz 5 {FUEL}\nProduz 20 {FUEL} se derretida no {STRUCTURE_MELTER},Produce 5 {FUEL}\nProduce 20 {FUEL} se fuso su {STRUCTURE_MELTER},产生5 {FUEL}\n如果在{STRUCTURE_MELTER}上熔化，则产生20 {FUEL},5 {FUEL} 생산\n{STRUCTURE_MELTER}에서 녹이면 20 {FUEL} 생산,5{FUEL}を生産\n{STRUCTURE_MELTER}で溶けると20{FUEL}を生産,Produce 5 {FUEL}\n Produce 20 {FUEL} si se funde en {STRUCTURE_MELTER},Produziert 5 {FUEL}\n Produziert 20 {FUEL} wenn auf {STRUCTURE_MELTER} geschmolzen,Produit 5 {FUEL}\nProduit 20 {FUEL} s'il est fondu dans une {STRUCTURE_MELTER},Produkuje 5 {FUEL}\nProdukuje 20 {FUEL} jeśli stopi się w {STRUCTURE_MELTER},5 {FUEL} üretir\n{STRUCTURE_MELTER} üzerinde eritilirse 20 {FUEL} üretir
FUEL_WHEAT,Fuel Wheat,Trigóleo,Grano combustibile,燃料小麦,연료 밀,燃料小麦,Trigo combustible,Treibstoff-Weizen,Blé combustible,Paliwowa pszenica,Yakıt Buğdayı
FUEL_WHEAT_DESCRIPTION,Produces 5 {FUEL},Produz 5 {FUEL} cada turno,Produce 5 {FUEL},产生5 {FUEL},5 {FUEL} 생산,5{FUEL}を生産,Produce 5 {FUEL},Produziert 5 {FUEL},Produit 5 {FUEL},Produkuje 5 {FUEL},5 {FUEL} üretir
WATERY_TREE,Watery Tree,Águarvore,Albero d'acqua,水树,물 나무,水の木,Árbol acuático,Wässriger Baum,Arbre aqueux,Drzewo wodne,Sulu Ağaç
WATERY_TREE_DESCRIPTION,-1 {WATER} cost on all {PLANTS} on adjacent islands\nProduces {WATER} equivalent to the total {PRODUCTION} of the {PLANTS} on same island,-1 custo de {WATER} para {PLANTS} em ilhas adjacentes\nProduz {WATER} equivalente ao total de itens feitos por {PLANTS} na mesma ilha,-1 costo di {WATER} su tutte le {PLANTS} delle isole adiacenti\nProduce {WATER} equivalente alla {PRODUCTION} totale delle {PLANTS} sulla stessa isola,相邻岛屿上的所有{PLANTS}减少1 {WATER}消耗\n根据同一岛屿上的{PLANTS}的总{PRODUCTION}生产{WATER},인접한 섬의 모든 {PLANTS}에게 {WATER} 비용 -1\n같은 섬의 {PLANTS}의 총 {PRODUCTION}와 동일한 {WATER} 생산,隣接する島のすべての{PLANTS}の{WATER}コスト-1\n同じ島の{PLANTS}の合計{PRODUCTION}と同じ{WATER}を生産,-1 costo de {WATER} en todas las {PLANTS} de islas adyacentes\n Produce {WATER} equivalente al total de {PRODUCTION} de las {PLANTS} en la misma isla,-1 {WATER} Kosten für alle {PLANTS} auf benachbarten Inseln\n Produziert {WATER} entsprechend der gesamten {PRODUCTION} der {PLANTS} auf derselben Insel,-1 coût en {WATER} pour toutes les {PLANTS} sur les îles adjacentes\nProduit {WATER} équivalente à la {PRODUCTION} totale des {PLANTS} sur la même île,-1 koszt {WATER} dla wszystkich {PLANTS} na sąsiednich wyspach\nProdukuje {WATER} równowartość całkowitego {PRODUCTION} {PLANTS} na tej samej wyspie,Bitişik adalardaki tüm {PLANTS} için -1 {WATER} maliyeti\nAynı adadaki {PLANTS} toplam {PRODUCTION} eşdeğerinde {WATER} üretir
COW,Cow,Vaca,Mucca,奶牛,소,牛,Vaca,Kuh,Vache,Krowa,İnek
COW_DESCRIPTION,"Eats adjacent tile {ITEM_WINE} production, if done so turns into {ANIMAL_CRAZY_COW}","Come {ITEM_WINE} produzido em ilhas adjacentes, virando {ANIMAL_CRAZY_COW}","Mangia la produzione di {ITEM_WINE} della tessera adiacente, se lo fa si trasforma in {ANIMAL_CRAZY_COW}",吃掉相邻地块的{ITEM_WINE}产量，如果这样做变成了{ANIMAL_CRAZY_COW},"인접한 타일의 {ITEM_WINE} 생산을 먹고, 그렇게 하면 {ANIMAL_CRAZY_COW}(으)로 변함",隣接するタイルの{ITEM_WINE}生産を食べると、そうすると{ANIMAL_CRAZY_COW}に変わる,"Consume la producción de {ITEM_WINE} en la casilla adyacente, si lo hace se convierte en {ANIMAL_CRAZY_COW}","Verzehrt die {ITEM_WINE} Produktion des angrenzenden Feldes, verwandelt sich dadurch in {ANIMAL_CRAZY_COW}",Si nourri avec {ITEM_WINE} devient {ANIMAL_CRAZY_COW},"Zjada produkcję {ITEM_WINE} z sąsiedniego pola, w wyniku czego przemienia się w {ANIMAL_CRAZY_COW}","Yanındaki karo {ITEM_WINE} üretimini yer, eğer böyle yaparsa {ANIMAL_CRAZY_COW} haline gelir"
PLANT_COW,Plant Cow,Vaca Planta,Mucca pianta,植物牛,식물 소,植物の牛,Vaca planta,Pflanzenkuh,Vache plante,Roślinna krowa,Bitki İnek
PLANT_COW_DESCRIPTION,Is this even considered a cow?,Será que isso pode ser considerado uma vaca?,Questa si può considerare una mucca?,这甚至可以算作牛吗？,이게 진짜 소인가요?,これは本当に牛と考えられますか？,¿Esto se considera una vaca?,Gilt dies überhaupt als Kuh?,Est-ce toujours considéré comme une vache ?,Czy to w ogóle krowa?,Bu bir inek olarak kabul edilir mi?
CHICKEN,Chicken,Galinha,Gallina,鸡,닭,チキン,Pollo,Huhn,Poulet,Kurczak,Tavuk
CHICKEN_DESCRIPTION,If adjacent to {ITEM_WINE} production drinks it turning into {ANIMAL_DRUNK_CHICKEN}\nIf adjacent to {PLANT_BLUE_WHEAT} uses {ENERGY} instead of {WATER},Se comer {ITEM_WINE} vira {ANIMAL_DRUNK_CHICKEN},Se adiacente a {ITEM_WINE} lo beve trasformandosi in {ANIMAL_DRUNK_CHICKEN}\nSe adiacente a {PLANT_BLUE_WHEAT} usa {ENERGY} invece di {WATER},如果与{ITEM_WINE}产出相邻，喝掉它变为{ANIMAL_DRUNK_CHICKEN}\n如果与{PLANT_BLUE_WHEAT}相邻，使用{ENERGY}代替{WATER},{ITEM_WINE} 생산 부분과 인접하면 마셔서 {ANIMAL_DRUNK_CHICKEN}으로 변화\n{PLANT_BLUE_WHEAT}와 인접하면 {ENERGY}를 사용하여 {WATER} 대신 사용,{ITEM_WINE}の生産に隣接していると、{ANIMAL_DRUNK_CHICKEN}に変わる\n{PLANT_BLUE_WHEAT}に隣接している場合、{WATER}の代わりに{ENERGY}を使用する,Si está junto a {ITEM_WINE} producción lo bebe convirtiéndose en {ANIMAL_DRUNK_CHICKEN}\n Si está junto a {PLANT_BLUE_WHEAT} usa {ENERGY} en lugar de {WATER},Wenn neben {ITEM_WINE} Produktion trinkt es und verwandelt sich in {ANIMAL_DRUNK_CHICKEN}\n Wenn neben {PLANT_BLUE_WHEAT} verwendet es {ENERGY} anstelle von {WATER},"Si adjacent à {ITEM_WINE}, le boit et devient {ANIMAL_DRUNK_CHICKEN}\nSi adjacent à {PLANT_BLUE_WHEAT}, sa demande en {WATER} est transformée en {ENERGY}","Jeśli obok {ITEM_WINE} produkcji, pije go zamieniając się w {ANIMAL_DRUNK_CHICKEN}\nJeśli obok {PLANT_BLUE_WHEAT}, używa {ENERGY} zamiast {WATER}",Bitişikteki {ITEM_WINE} üretimi onu içerse {ANIMAL_DRUNK_CHICKEN} olur\nBitişikteki {PLANT_BLUE_WHEAT} varsa {WATER} yerine {ENERGY} kullanır
PEANUT_COW,Peanut Cow,Vacamendoim,Mucca arachide,花生牛,땅콩 소,ピーナッツ牛,Vaca de maní,Erdnuss-Kuh,Vache à cacahuètes,Krowa orzechowa,Fıstık İnek
WATER_COW,Water Cow,Vacágua,Mucca acqua,水牛,물 소,水牛,Vaca de agua,Wasser-Kuh,Vache à eau,Wodna krowa,Su İneği
WATER_COW_DESCRIPTION,0 {WATER} cost to adjacent island {PLANTS},0 de custo de {WATER} para {PLANTS} em ilhas adjacentes,0 costo di {WATER} per le {PLANTS} sull'isola adiacente,相邻岛屿的{PLANTS}消耗0 {WATER},인접한 섬의 {PLANTS}에게 {WATER} 비용 0,隣接する島の{PLANTS}の{WATER}コスト0,0 costo de {WATER} para {PLANTS} en isla adyacente,0 {WATER} Kosten für {PLANTS} auf benachbarter Insel,0 coût en {WATER} pour les {PLANTS} des îles adjacentes,0 koszt {WATER} dla {PLANTS} na sąsiedniej wyspie,Bitişik adadaki {PLANTS} için 0 {WATER} maliyeti
WATER_CHICKEN,Water Chicken,Águalinha,Gallina acqua,水鸡,물 닭,水チキン,Pollo de agua,Wasser-Huhn,Poulet d'eau,Wodny kurczak,Su Tavuğu
WATER_CHICKEN_DESCRIPTION,Lays {ITEM_WATER_EGG} producing 20 {WATER} per egg\n+20 {WATER} if {ITEM_WATER_EGG} is hatched,Bota {ITEM_WATER_EGG} produzindo 20 {WATER} por ovo\n+20 {WATER} se {ITEM_WATER_EGG} for chocado,Depone {ITEM_WATER_EGG} producendo 20 {WATER} per uovo\n+20 {WATER} se {ITEM_WATER_EGG} viene fatto schiudere,下{ITEM_WATER_EGG}，每个蛋产生20 {WATER}\n如果{ITEM_WATER_EGG}孵化，增加20 {WATER},{ITEM_WATER_EGG}를 낳아서 계란당 20 {WATER} 생산\n{ITEM_WATER_EGG}이 부화하면 +20 {WATER},{ITEM_WATER_EGG}を産むと、卵ごとに20{WATER}を生産\n{ITEM_WATER_EGG}が孵化した場合、+20{WATER},Pone {ITEM_WATER_EGG} produciendo 20 {WATER} por huevo\n +20 {WATER} si {ITEM_WATER_EGG} eclosiona,Legt {ITEM_WATER_EGG} und produziert 20 {WATER} pro Ei\n +20 {WATER} wenn {ITEM_WATER_EGG} ausgebrütet wird,Pond un {ITEM_WATER_EGG} produisant 20 {WATER} par œuf\nÉclore un {ITEM_WATER_EGG} donne 20 {WATER},Składa {ITEM_WATER_EGG} produkując 20 {WATER} za jajko\n+20 {WATER} jeśli {ITEM_WATER_EGG} się wykluje,Her yumurta için 20 {WATER} üretir\n{ITEM_WATER_EGG} kuluçkaya alınırsa +20 {WATER}
FUEL_COW,Fuel Cow,Vacombustível,Mucca combustibile,燃料牛,연료 소,燃料牛,Vaca de combustible,Treibstoff-Kuh,Vache à carburant,Krowa paliwowa,Yakıt İneği
FUEL_COW_DESCRIPTION,Produces {FUEL} equivalent to half the total of {FUEL} produced in adjacent islands,Produz {FUEL} equivalente a metade do total de {FUEL} produzido em ilhas adjacentes,Produce {FUEL} equivalente alla metà del totale di {FUEL} prodotto nelle isole adiacenti,相邻岛屿产生的{FUEL}总量的一半,인접한 섬에서 생산되는 {FUEL} 총량의 절반을 생산합니다,隣接する島で生成される{FUEL}の合計の半分を生成します,Produce {FUEL} equivalente a la mitad del total de {FUEL} producido en islas adyacentes,"Produziert {FUEL} entsprechend der Hälfte des gesamten {FUEL}, das auf benachbarten Inseln produziert wird",Produit {FUEL} équivalent à la moitié du total de {FUEL} produit sur les îles adjacentes,Wytwarza {FUEL} równowartości połowy całkowitej ilości {FUEL} produkowanego na sąsiednich wyspach,Bitişik adalarda üretilen {FUEL} toplamının yarısı kadar {FUEL} üretir
ENGINEER_COW,Engineer Cow,Engenhovaca,Mucca ingegnere,工程牛,기술자 소,エンジニア牛,Vaca ingeniera,Ingenieur-Kuh,Vache ingénieure,Inżynierska krowa,Mühendis İnek
ENGINEER_COW_DESCRIPTION,Halfs resource cost of {STRUCTURES} in a 2 island range,Corta pela metade o custo de {FUEL} em {STRUCTURES} dentro de um alcance de 2 ilhas,Dimezza il costo delle risorse delle {STRUCTURES} in un raggio di 2 isole,在2岛范围内减半{STRUCTURES}的资源消耗,2 섬 범위 내의 {STRUCTURES} 자원 비용을 반으로 줄임,2島の範囲内の{STRUCTURES}のリソースコストを半減,Reduce a la mitad el costo de recursos de {STRUCTURES} en un rango de 2 islas,Halbiert Ressourcenkosten von {STRUCTURES} in einem 2-Insel-Bereich,Réduit de moitié le coût en ressources des {STRUCTURES} dans un rayon de 2 îles,Redukuje o połowę koszty zasobów {STRUCTURES} w zasięgu 2 wysp,2 ada menzilindeki {STRUCTURES} kaynak maliyetini yarıya indirir
GIANT_COW,Giant Cow,Vaca Gigante,Mucca gigante,巨大的牛,거대한 소,巨大な牛,Vaca gigante,Riesenkuh,Vache géante,Wielka krowa,Dev İnek
GIANT_CHICKEN,Giant Chicken,Galinha Gigante,Gallina gigante,巨大的鸡,거대한 닭,巨大なチキン,Pollo gigante,Riesenhuhn,Poulet géant,Wielki kurczak,Dev Tavuk
GIANT_CHICKEN_DESCRIPTION,Eats adjacent island {ITEM_MILK} and {ITEM_PANETTONE}\nIf fed {ITEM_MILK} makes 1 {ITEM_COW_EGG}\nIf fed {ITEM_PANETTONE} turns into {ANIMAL_JINGLE_CLUCKS},Come {ITEM_MILK} e {ITEM_PANETTONE} de ilhas adjacentes\nSe comer {ITEM_MILK} produz 1 {ITEM_COW_EGG}\nSe comer {ITEM_PANETTONE} vira {ANIMAL_JINGLE_CLUCKS},Mangia {ITEM_MILK} e {ITEM_PANETTONE} delle isole adiacenti\nSe nutrito di {ITEM_MILK} produce 1 {ITEM_COW_EGG}\nSe nutrito di {ITEM_PANETTONE} si trasforma in {ANIMAL_JINGLE_CLUCKS},吃相邻岛屿的{ITEM_MILK}和{ITEM_PANETTONE}\n如果喂食{ITEM_MILK}会产生1个{ITEM_COW_EGG}\n如果喂食{ITEM_PANETTONE}会变成{ANIMAL_JINGLE_CLUCKS},인접한 섬의 {ITEM_MILK}와 {ITEM_PANETTONE}를 먹습니다\n{ITEM_MILK}를 먹으면 1개의 {ITEM_COW_EGG}를 만듭니다\n{ITEM_PANETTONE}를 먹으면 {ANIMAL_JINGLE_CLUCKS}로 변합니다,隣接する島の{ITEM_MILK}と{ITEM_PANETTONE}を食べる\n{ITEM_MILK}を与えると1つの{ITEM_COW_EGG}を作る\n{ITEM_PANETTONE}を与えると{ANIMAL_JINGLE_CLUCKS}に変わる,Come {ITEM_MILK} y {ITEM_PANETTONE} de islas adyacentes\nSi se alimenta de {ITEM_MILK} produce 1 {ITEM_COW_EGG}\nSi se alimenta de {ITEM_PANETTONE} se convierte en {ANIMAL_JINGLE_CLUCKS},"Fr isst {ITEM_MILK} und {ITEM_PANETTONE} von benachbarten Inseln\nWenn es mit {ITEM_MILK} gefüttert wird, macht es 1 {ITEM_COW_EGG}\nWenn es mit {ITEM_PANETTONE} gefüttert wird, verwandelt es sich in {ANIMAL_JINGLE_CLUCKS}","Mange du {ITEM_MILK} et du {ITEM_PANETTONE} des îles adjacentes\nS'il est nourri avec {ITEM_MILK}, il produit 1 {ITEM_COW_EGG}\nS'il est nourri avec {ITEM_PANETTONE}, il se transforme en {ANIMAL_JINGLE_CLUCKS}","Je {ITEM_MILK} i {ITEM_PANETTONE} z sąsiednich wysp\nJeśli zostanie nakarmiony {ITEM_MILK}, tworzy 1 {ITEM_COW_EGG}\nJeśli zostanie nakarmiony {ITEM_PANETTONE}, zmienia się w {ANIMAL_JINGLE_CLUCKS}",Yakın adalardan {ITEM_MILK} ve {ITEM_PANETTONE} yer\n{ITEM_MILK} ile beslenirse 1 {ITEM_COW_EGG} yapar\n{ITEM_PANETTONE} ile beslenirse {ANIMAL_JINGLE_CLUCKS}'e dönüşür
CRAZY_COW,Crazy Cow,Vaca Maluca,Mucca pazza,疯狂的牛,미친 소,クレイジーカウ,Vaca loca,Verrückte Kuh,Vache folle,Szalona krowa,Çılgın İnek
DRUNK_CHICKEN,Drunk Chicken,Galinha Bêbada,Gallina ubriaca,醉鸡,취한 닭,酔っ払ったチキン,Pollo borracho,Betrunkene Hühner,Poulet ivre,Pijany kurczak,Sarhoş Tavuk
DRUNK_CHICKEN_DESCRIPTION,If {ITEM_ELIXIR_EGG} is hatched you get a {ANIMAL_ELIXIR_SLIME} card,Se {ITEM_ELIXIR_EGG} for chocado você ganha uma carta de {ANIMAL_ELIXIR_SLIME},Se viene fatto schiudere un {ITEM_ELIXIR_EGG} ottieni un {ANIMAL_ELIXIR_SLIME},如果孵化{ITEM_ELIXIR_EGG}，你将得到一个{ANIMAL_ELIXIR_SLIME},{ITEM_ELIXIR_EGG}이 부화하면 {ANIMAL_ELIXIR_SLIME} 얻기,{ITEM_ELIXIR_EGG}が孵化した場合、{ANIMAL_ELIXIR_SLIME}を得る,"Si {ITEM_ELIXIR_EGG} eclosiona, obtienes un {ANIMAL_ELIXIR_SLIME}","Wenn {ITEM_ELIXIR_EGG} ausgebrütet wird, erhalten Sie ein {ANIMAL_ELIXIR_SLIME}","Si {ITEM_ELIXIR_EGG} est éclos, vous obtenez un {ANIMAL_ELIXIR_SLIME}",Jeśli wyklujesz {ITEM_ELIXIR_EGG} dostajesz {ANIMAL_ELIXIR_SLIME},{ITEM_ELIXIR_EGG} kuluçkaya alınırsa bir {ANIMAL_ELIXIR_SLIME} alırsınız
CORNY_COW,Corny Cow,Vamilho,Mucca mais,玉米牛,옥수수 소,コーニーカウ,Vaca maicera,Maisige Kuh,Vache de maïs,Kukurydziana krowa,Mısır İneği
CORNY_COW_DESCRIPTION,If sacrificed it grows back,Se sacrificada cresce de novo,Se sacrificata ricresce,如果被献祭，它会再生,희생하면 다시 자랍니다.,犠牲にされると再成長する,"Si se sacrifica, vuelve a crecer","Wenn geopfert, wächst es zurück","Si elle est sacrifiée, elle repousse","Jeśli ją poświęcisz, odrasta",Feda edilirse geri büyür
ELIXIR_SLIME,Elixir Slime,Slime de Elixir,Melma elisir,灵药史莱姆,엘릭서 슬라임,エリクサースライム,Limo elixir,Elixier-Schleim,Gelée élixir,Eliksir Slime,İksir Sümüklüböcek
ELIXIR_SLIME_DESCRIPTION,50% chance of giving you a {PLANT_GRAPES} card every turn,50% de chance de dar uma carta de {PLANT_GRAPES} todo turno,50% di probabilità di darti una carta {PLANT_GRAPES} ogni turno,每轮有50%的机会给你一个{PLANT_GRAPES}卡,턴마다 {PLANT_GRAPES} 카드를 받을 확률 50%,50%の確率で毎ターン{PLANT_GRAPES}カードを手に入れる,50% de posibilidad de darte una carta {PLANT_GRAPES} cada turno,"50% Chance, jede Runde eine {PLANT_GRAPES} Karte zu bekommen",50% de chance de vous donner une carte {PLANT_GRAPES} à chaque tour,50% szans na dostanie karty {PLANT_GRAPES} w każdej turze,Her turda %50 şansla bir {PLANT_GRAPES} kartı alırsınız
WATER_WELL,Water Well,Poço de Água,Pozzo,水井,우물,水の井戸,Pozo de agua,Brunnen,Puit d'eau,Studnia,Su Kuyusu
WATER_WELL_DESCRIPTION,+1 {PRODUCTION} to {PLANTS} on same island,+1 {PRODUCTION} para {PLANTS} na mesma ilha,+1 {PRODUCTION} per ogni {PLANT} sulla stessa isola,同一岛屿的每个{PLANT}增加+1 {PRODUCTION},같은 섬의 {PLANT}마다 +1 {PRODUCTION},同じ島の{PLANT}ごとに+1{PRODUCTION},+1 {PRODUCTION} por cada {PLANT} en la misma isla,+1 {PRODUCTION} für jede {PLANT} auf derselben Insel,+1 {PRODUCTION} aux {PLANTS} sur la même île,+1 {PRODUCTION} dla każdego {PLANT} na tej samej wyspie,Aynı adadaki her {PLANT} için +1 {PRODUCTION}
LAKE,Lake,Lago,Lago,湖,호수,湖,Lago,See,Lac,Jezioro,Göl
LAKE_DESCRIPTION,0 {WATER} cost to adjacent island {ANIMALS}\nHolds 16 {SLOT_PLURAL} for only {GROUP_CRABS},0 custo de {WATER} para ilha adjacente {ANIMALS}\nAloja 16 {SLOT_PLURAL} apenas para {GROUP_CRABS},0 costo di {WATER} per isola adiacente {ANIMALS}\nContiene 16 {SLOT_PLURAL} solo per {GROUP_CRABS},相邻岛屿上的{ANIMALS}减少0 {WATER} 消耗\n仅供{GROUP_CRABS}使用，可容纳16个{SLOT_PLURAL},인접한 섬의 {ANIMALS}에게 {WATER} 비용 0\n{GROUP_CRABS} 전용 16 {SLOT_PLURAL} 보유,隣接する島の{ANIMALS}への{WATER}コスト0\n{GROUP_CRABS}専用、16 {SLOT_PLURAL}を保持,0 costo de {WATER} para isla adyacente {ANIMALS}\nContiene 16 {SLOT_PLURAL} solo para {GROUP_CRABS},0 {WATER} Kosten für benachbarte Insel {ANIMALS}\nHält 16 {SLOT_PLURAL} nur für {GROUP_CRABS},0 {WATER} de coût pour l'île adjacente {ANIMALS}\nContient 16 {SLOT_PLURAL} uniquement pour {GROUP_CRABS},0 koszt {WATER} dla sąsiedniej wyspy {ANIMALS}\nPomieści 16 {SLOT_PLURAL} tylko dla {GROUP_CRABS},Bitişik adaya {ANIMALS} için 0 {WATER} maliyet\nSadece {GROUP_CRABS} için 16 {SLOT_PLURAL} saklar
SMALL_FENCES,Small Fences,Cercadinho,Recinzioni piccole,小围栏,작은 울타리,小さなフェンス,Cercas pequeñas,Kleine Zäune,Petites clôtures,Małe ogrodzenie,Küçük Çitler
SMALL_FENCES_DESCRIPTION,Holds 10 {SLOT_PLURAL},Contém 10 {SLOT_PLURAL},Hanno 10 {SLOT_PLURAL},容纳10 {SLOT_PLURAL},10개의 {SLOT_PLURAL} 보유,10の{SLOT_PLURAL}を持つ,Tienen espacio para 10 {SLOT_PLURAL},Bieten Platz für 10 {SLOT_PLURAL},Peut contenir 10 {SLOT_PLURAL},Mieści 10 {SLOT_PLURAL},10 {SLOT_PLURAL} tutar
SILO,Silo,Silo,Silo,筒仓,사일로,サイロ,Silo,Silo,Silo,Silos,Silo
SILO_DESCRIPTION,2x {PRODUCTION} and 2x {WATER} cost to {GROUP_WHEATS} in the range of 1 island,2x {PRODUCTION} e 2x custo de {WATER} para {GROUP_WHEATS} no alcance de 1 ilha,2x {PRODUCTION} e 2x costo di {WATER} per i {GROUP_WHEATS} in un raggio di 1 isola,在1岛范围内的{GROUP_WHEATS}生产2x {PRODUCTION}并消耗2x {WATER},1 섬 범위 내의 {GROUP_WHEATS}에게 2x {PRODUCTION} 및 2x {WATER} 비용,1島の範囲内の{GROUP_WHEATS}に対して2xの{PRODUCTION}と2xの{WATER}コスト,2x {PRODUCTION} y 2x costo de {WATER} para {GROUP_WHEATS} en un rango de 1 isla,2x {PRODUCTION} und 2x {WATER} Kosten für {GROUP_WHEATS} im Bereich von 1 Insel,Double la {PRODUCTION} et le coût en {WATER}{ENERGY}{FUEL} des {GROUP_WHEATS} sur les îles adjacentes,2x {PRODUCTION} i 2x koszt {WATER} dla {GROUP_WHEATS} w zasięgu 1 wyspy,1 ada menzilindeki {GROUP_WHEATS} için 2x {PRODUCTION} ve 2x {WATER} maliyeti
SOLAR_PANEL,Solar Panel,Painel Solar,Pannello solare,太阳能板,태양광 패널,ソーラーパネル,Panel solar,Solarpanel,Panneau solaire,Panel słoneczny,Güneş Paneli
SOLAR_PANEL_DESCRIPTION,Turns adjacent island {PLANT_SUNFLOWER} into {PLANT_ELECTRIC_SUNFLOWER},Transforma {PLANT_SUNFLOWER} em ilhas adjacentes em {PLANT_ELECTRIC_SUNFLOWER},Trasforma il {PLANT_SUNFLOWER} dell'isola adiacente in {PLANT_ELECTRIC_SUNFLOWER},将相邻岛屿的{PLANT_SUNFLOWER}变为{PLANT_ELECTRIC_SUNFLOWER},인접한 섬의 {PLANT_SUNFLOWER}를 {PLANT_ELECTRIC_SUNFLOWER}로 변화,隣接する島の{PLANT_SUNFLOWER}を{PLANT_ELECTRIC_SUNFLOWER}に変える,Convierte el {PLANT_SUNFLOWER} de isla adyacente en {PLANT_ELECTRIC_SUNFLOWER},Verwandelt benachbarte Insel {PLANT_SUNFLOWER} in {PLANT_ELECTRIC_SUNFLOWER},Transforme les {PLANT_SUNFLOWER} des îles adjacentes en {PLANT_ELECTRIC_SUNFLOWER},Zmienia {PLANT_SUNFLOWER} na sąsiedniej wyspie w {PLANT_ELECTRIC_SUNFLOWER},Bitişik adadaki {PLANT_SUNFLOWER} dönüşür ve {PLANT_ELECTRIC_SUNFLOWER} olur
FUEL_INFUSER,Fuel Infuser,Injetador de Combustível,Infusore di combustibile,燃料注入器,연료 주입기,燃料インフューザー,Infusor de combustible,Treibstoff-Infusor,Infuseur de carburant,Infuzor paliwowy,Yakıt Enfüzyonu
